timestamp,pct_counted,candidate,projected_votes,votes_counted
2026-04-14 14:23,0.782942,KEIKO SOFIA FUJIMORI HIGUCHI,2927466,2278434
2026-04-14 14:23,0.782942,VOTOS EN BLANCO,2404197,1734842
2026-04-14 14:23,0.782942,ROBERTO HELBERT SANCHEZ PALOMINO,2046011,1408495
2026-04-14 14:23,0.782942,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,2038839,1712322
2026-04-14 14:23,0.782942,JORGE NIETO MONTESINOS,1851636,1587501
2026-04-14 14:23,0.782942,RICARDO PABLO BELMONT CASSINELLI,1687547,1355379
2026-04-14 14:23,0.782942,CARLOS GONSALO ALVAREZ LOAYZA,1345063,1094540
2026-04-14 14:23,0.782942,PABLO ALFONSO LOPEZ CHAU NAVA,1229176,1022296
2026-04-14 14:23,0.782942,VOTOS NULOS,1024378,767617
2026-04-14 14:23,0.782942,MARIA SOLEDAD PEREZ TELLO,580516,490218
2026-04-14 14:23,0.782942,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,566964,479202
2026-04-14 14:23,0.782942,LUIS FERNANDO OLIVERA VEGA,310143,256258
2026-04-14 14:23,0.782942,JOSE LEON LUNA GALVEZ,272544,199158
2026-04-14 14:23,0.782942,YONHY LESCANO ANCIETA,216232,175486
2026-04-14 14:23,0.782942,CESAR ACUÑA PERALTA,194367,143288
2026-04-14 14:23,0.782942,PITTER ENRIQUE VALDERRAMA PEÑA,165319,129048
2026-04-14 14:23,0.782942,GEORGE PATRICK FORSYTH SOMMER,161778,118712
2026-04-14 14:23,0.782942,HERBERT CALLER GUTIERREZ,149441,114163
2026-04-14 14:23,0.782942,RONALD DARWIN ATENCIO SOTOMAYOR,149104,107042
2026-04-14 14:23,0.782942,MARIO ENRIQUE VIZCARRA CORNEJO,149023,112537
2026-04-14 14:23,0.782942,ROSARIO DEL PILAR FERNANDEZ BAZAN,132809,96469
2026-04-14 14:23,0.782942,CHARLIE CARRASCO SALAZAR,124074,91940
2026-04-14 14:23,0.782942,VLADIMIR ROY CERRON ROJAS,103986,76287
2026-04-14 14:23,0.782942,MESIAS ANTONIO GUEVARA AMASIFUEN,84635,68228
2026-04-14 14:23,0.782942,ROBERTO ENRIQUE CHIABRA LEON,72470,56976
2026-04-14 14:23,0.782942,PAUL DAVIS JAIMES BLANCO,69001,53135
2026-04-14 14:23,0.782942,ALEX GONZALES CASTILLO,68872,49184
2026-04-14 14:23,0.782942,WOLFGANG MARIO GROZO COSTA,66298,53339
2026-04-14 14:23,0.782942,RAFAEL JORGE BELAUNDE LLOSA,43862,32664
2026-04-14 14:23,0.782942,JOSE DANIEL WILLIAMS ZAPATA,35452,26438
2026-04-14 14:23,0.782942,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,34438,24765
2026-04-14 14:23,0.782942,FIORELLA GIANNINA MOLINELLI ARISTONDO,30864,21701
2026-04-14 14:23,0.782942,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,26675,18075
2026-04-14 14:23,0.782942,ARMANDO JOAQUIN MASSE FERNANDEZ,24545,17159
2026-04-14 14:23,0.782942,ANTONIO ORTIZ VILLANO,22257,12944
2026-04-14 14:23,0.782942,WALTER GILMER CHIRINOS PURIZAGA,16940,11235
2026-04-14 14:23,0.782942,NAPOLEON BECERRA GARCIA,14044,9050
2026-04-14 14:23,0.782942,CARLOS ERNESTO JAICO CARRANZA,12161,7613
2026-04-15 19:54,0.921165,KEIKO SOFIA FUJIMORI HIGUCHI,2883846,2643375
2026-04-15 19:54,0.921165,VOTOS EN BLANCO,2373667,2156416
2026-04-15 19:54,0.921165,ROBERTO HELBERT SANCHEZ PALOMINO,2014778,1871729
2026-04-15 19:54,0.921165,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,2004192,1838340
2026-04-15 19:54,0.921165,JORGE NIETO MONTESINOS,1844882,1714967
2026-04-15 19:54,0.921165,RICARDO PABLO BELMONT CASSINELLI,1702453,1574241
2026-04-15 19:54,0.921165,CARLOS GONSALO ALVAREZ LOAYZA,1332187,1218665
2026-04-15 19:54,0.921165,PABLO ALFONSO LOPEZ CHAU NAVA,1226798,1141152
2026-04-15 19:54,0.921165,VOTOS NULOS,1012454,930457
2026-04-15 19:54,0.921165,MARIA SOLEDAD PEREZ TELLO,573959,532249
2026-04-15 19:54,0.921165,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,562913,525320
2026-04-15 19:54,0.921165,LUIS FERNANDO OLIVERA VEGA,308192,287834
2026-04-15 19:54,0.921165,JOSE LEON LUNA GALVEZ,266847,246723
2026-04-15 19:54,0.921165,YONHY LESCANO ANCIETA,215289,203167
2026-04-15 19:54,0.921165,CESAR ACUÑA PERALTA,192987,176055
2026-04-15 19:54,0.921165,PITTER ENRIQUE VALDERRAMA PEÑA,161907,148718
2026-04-15 19:54,0.921165,GEORGE PATRICK FORSYTH SOMMER,153638,139114
2026-04-15 19:54,0.921165,MARIO ENRIQUE VIZCARRA CORNEJO,144736,133501
2026-04-15 19:54,0.921165,HERBERT CALLER GUTIERREZ,144473,133896
2026-04-15 19:54,0.921165,RONALD DARWIN ATENCIO SOTOMAYOR,140613,131067
2026-04-15 19:54,0.921165,ROSARIO DEL PILAR FERNANDEZ BAZAN,128620,116174
2026-04-15 19:54,0.921165,CHARLIE CARRASCO SALAZAR,118844,110135
2026-04-15 19:54,0.921165,VLADIMIR ROY CERRON ROJAS,100399,92719
2026-04-15 19:54,0.921165,MESIAS ANTONIO GUEVARA AMASIFUEN,82308,76086
2026-04-15 19:54,0.921165,ROBERTO ENRIQUE CHIABRA LEON,68446,62613
2026-04-15 19:54,0.921165,PAUL DAVIS JAIMES BLANCO,66376,61137
2026-04-15 19:54,0.921165,ALEX GONZALES CASTILLO,64408,58691
2026-04-15 19:54,0.921165,WOLFGANG MARIO GROZO COSTA,64059,59017
2026-04-15 19:54,0.921165,RAFAEL JORGE BELAUNDE LLOSA,41257,37716
2026-04-15 19:54,0.921165,JOSE DANIEL WILLIAMS ZAPATA,32967,30313
2026-04-15 19:54,0.921165,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,31825,28991
2026-04-15 19:54,0.921165,FIORELLA GIANNINA MOLINELLI ARISTONDO,27504,25176
2026-04-15 19:54,0.921165,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,23610,21503
2026-04-15 19:54,0.921165,ARMANDO JOAQUIN MASSE FERNANDEZ,21907,20104
2026-04-15 19:54,0.921165,ANTONIO ORTIZ VILLANO,17826,16174
2026-04-15 19:54,0.921165,WALTER GILMER CHIRINOS PURIZAGA,14861,13373
2026-04-15 19:54,0.921165,NAPOLEON BECERRA GARCIA,11755,10530
2026-04-15 19:54,0.921165,CARLOS ERNESTO JAICO CARRANZA,10082,8949
2026-04-14 15:38,0.79011,KEIKO SOFIA FUJIMORI HIGUCHI,2932902,2297480
2026-04-14 15:38,0.79011,VOTOS EN BLANCO,2403001,1756977
2026-04-14 15:38,0.79011,ROBERTO HELBERT SANCHEZ PALOMINO,2041941,1432360
2026-04-14 15:38,0.79011,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,2037928,1718509
2026-04-14 15:38,0.79011,JORGE NIETO MONTESINOS,1850883,1594447
2026-04-14 15:38,0.79011,RICARDO PABLO BELMONT CASSINELLI,1687228,1366050
2026-04-14 15:38,0.79011,CARLOS GONSALO ALVAREZ LOAYZA,1343445,1099663
2026-04-14 15:38,0.79011,PABLO ALFONSO LOPEZ CHAU NAVA,1228893,1028237
2026-04-14 15:38,0.79011,VOTOS NULOS,1021320,775209
2026-04-14 15:38,0.79011,MARIA SOLEDAD PEREZ TELLO,579798,492155
2026-04-14 15:38,0.79011,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,565240,481274
2026-04-14 15:38,0.79011,LUIS FERNANDO OLIVERA VEGA,309923,257760
2026-04-14 15:38,0.79011,JOSE LEON LUNA GALVEZ,271777,201729
2026-04-14 15:38,0.79011,YONHY LESCANO ANCIETA,215673,176406
2026-04-14 15:38,0.79011,CESAR ACUÑA PERALTA,194525,145484
2026-04-14 15:38,0.79011,PITTER ENRIQUE VALDERRAMA PEÑA,164989,130496
2026-04-14 15:38,0.79011,GEORGE PATRICK FORSYTH SOMMER,161347,119614
2026-04-14 15:38,0.79011,HERBERT CALLER GUTIERREZ,148818,115102
2026-04-14 15:38,0.79011,RONALD DARWIN ATENCIO SOTOMAYOR,147662,107856
2026-04-14 15:38,0.79011,MARIO ENRIQUE VIZCARRA CORNEJO,147369,113461
2026-04-14 15:38,0.79011,ROSARIO DEL PILAR FERNANDEZ BAZAN,132511,97480
2026-04-14 15:38,0.79011,CHARLIE CARRASCO SALAZAR,123015,92884
2026-04-14 15:38,0.79011,VLADIMIR ROY CERRON ROJAS,103219,77024
2026-04-14 15:38,0.79011,MESIAS ANTONIO GUEVARA AMASIFUEN,84293,68556
2026-04-14 15:38,0.79011,ROBERTO ENRIQUE CHIABRA LEON,71976,57214
2026-04-14 15:38,0.79011,PAUL DAVIS JAIMES BLANCO,68626,53506
2026-04-14 15:38,0.79011,ALEX GONZALES CASTILLO,68366,49665
2026-04-14 15:38,0.79011,WOLFGANG MARIO GROZO COSTA,66053,53597
2026-04-14 15:38,0.79011,RAFAEL JORGE BELAUNDE LLOSA,43879,32939
2026-04-14 15:38,0.79011,JOSE DANIEL WILLIAMS ZAPATA,35299,26615
2026-04-14 15:38,0.79011,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,34216,24976
2026-04-14 15:38,0.79011,FIORELLA GIANNINA MOLINELLI ARISTONDO,30411,21851
2026-04-14 15:38,0.79011,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,26384,18250
